"ID","Learning level","Spelling","Synthesis","Phonemic Synthesis","IllustrationFile","AudioFile","IsSimpleWord","IsSightWord","IsPhonicsWord"
"wig","24","wig","w/i/g","w/i/g","","WordAudio_wig.ogg","Y","N","Y"
"wet","24","wet","w/e/t","w/e/t","","WordAudio_wet.ogg","Y","N","Y"
"well","24","well","w/e/ll","w/e/l","WordImage_well.png","WordAudio_well.ogg","Y","N","Y"
"wed","24","wed","w/e/d","w/e/d","","WordAudio_wed.ogg","Y","N","Y"
"web","24","web","w/e/b","w/e/b","","WordAudio_web.ogg","Y","N","Y"
"wax","24","wax","w/a/x","w/ae/ks","","WordAudio_wax.ogg","Y","N","Y"
"wag","24","wag","w/a/g","w/ae/g","","WordAudio_wag.ogg","Y","N","Y"
"vet","23","vet","v/e/t","v/e/t","","WordAudio_vet.ogg","Y","N","Y"
"vat","23","vat","v/a/t","v/ae/t","","WordAudio_vat.ogg","Y","N","Y"
"sell","20","sell","s/e/ll","s/e/l","","WordAudio_sell.ogg","Y","N","Y"
"pill","20","pill","p/i/ll","p/i/l","","WordAudio_pill.ogg","Y","N","Y"
"all_phonics","20","all",,"o:/l","","WordAudio_all.ogg","N","Y","N"
"mill","20","mill","m/i/ll","m/i/l","","WordAudio_mill.ogg","Y","N","Y"
"doll","20","doll","d/o/ll","d/o/l","","WordAudio_doll.ogg","Y","N","Y"
"ball","20","ball",,"b/o:/l","WordImage_ball.png","WordAudio_ball.ogg","Y","Y","N"
"bill","20","bill","b/i/ll","b/i/l","","WordAudio_bill.ogg","Y","N","Y"
"bell","20","bell","b/e/ll","b/e/l","WordImage_bell.png","WordAudio_bell.ogg","Y","N","Y"
"of","19","of",,,"","WordAudio_of.ogg","N","Y","N"
"puff","19","puff","p/u/ff","p/^/f","WordImage_puff.png","WordAudio_puff.ogg","Y","N","Y"
"off","19","off","o/ff","o/f","WordImage_off.png","WordAudio_off.ogg","Y","N","Y"
"if","19","if","i/f","i/f","","WordAudio_if.ogg","Y","N","Y"
"huff","19","huff","h/u/ff","h/^/f","","WordAudio_huff.ogg","Y","N","Y"
"fog","19","fog","f/o/g","f/o/g","","WordAudio_fog.ogg","Y","N","Y"
"flag_orange","19","flag","f/l/a/g","f/l/ae/g","WordImage_flag.png","WordAudio_flag.ogg","Y","N","Y"
